q0 q1 q2 q3 wx wy wz
-0.674716  0.334976 -0.229931 -0.616182  0.181229 0.0930449 0.0831609
 -0.67032   0.33213 -0.227223 -0.623482  0.181546 0.0925345 0.0829998
-0.665802  0.329324 -0.224474 -0.630765  0.181861 0.0920243  0.082839
 -0.66126  0.326512 -0.221707 -0.637943  0.182174  0.091514 0.0826786
-0.656577  0.323719 -0.218999 -0.645098  0.182485 0.0910038 0.0825186
-0.651863  0.320887 -0.216205 -0.652198  0.182794 0.0904936  0.082359
-0.646996  0.318062 -0.213366 -0.659323    0.1831 0.0899835 0.0821998
-0.642108   0.31516 -0.210422 -0.666404  0.183405 0.0894735  0.082041
-0.637097  0.312416 -0.207515 -0.673381  0.183708 0.0889635 0.0818825
-0.632088  0.309569 -0.204547 -0.680288  0.184009 0.0884536 0.0817245
-0.627052   0.30669 -0.201604 -0.687097  0.184307 0.0879437 0.0815669
-0.621952   0.30387 -0.198466 -0.693866  0.184604  0.087434 0.0814097
-0.616776  0.301114 -0.195358 -0.700538  0.184898 0.0869243 0.0812529
-0.611475  0.298299 -0.192233 -0.707222  0.185191 0.0864148 0.0810965
-0.606147  0.295442 -0.189096 -0.713823  0.185482 0.0859053 0.0809406
-0.600744   0.29256 -0.185937 -0.720377   0.18577  0.085396 0.0807851
-0.595278  0.289715 -0.182718 -0.726859  0.186057 0.0848868   0.08063
-0.589775  0.286899 -0.179428 -0.733253  0.186341 0.0843777 0.0804754
 -0.58424   0.28405 -0.176091 -0.739575  0.186624 0.0838688 0.0803212
 -0.57854  0.281241 -0.172734 -0.745894  0.186905   0.08336 0.0801675
-0.572793  0.278418 -0.169404 -0.752127  0.187184 0.0828513 0.0800142
-0.567058  0.275631 -0.166008 -0.758231   0.18746 0.0823428 0.0798614
-0.561217  0.272793   -0.1626 -0.764317  0.187735 0.0818345 0.0797091
-0.555274  0.269925 -0.159195 -0.770369  0.188008 0.0813263 0.0795572
-0.549279  0.267148 -0.155679  -0.77633  0.188279 0.0808183 0.0794058
-0.543363  0.264248 -0.152273  -0.78214  0.188548 0.0803105 0.0792549
-0.537304  0.261427 -0.148717 -0.787937  0.188815 0.0798028 0.0791045
-0.531218  0.258557 -0.145141 -0.793656   0.18908 0.0792954 0.0789546
-0.525066  0.255818 -0.141438 -0.799286  0.189344 0.0787881 0.0788052
 -0.51881  0.253018 -0.137848  -0.80487  0.189605 0.0782811 0.0786564
-0.512565  0.250225 -0.134257 -0.810333  0.189865 0.0777742  0.078508
-0.506182  0.247396 -0.130635 -0.815788  0.190122 0.0772676 0.0783601
  -0.4998  0.244647 -0.126978 -0.821112  0.190378 0.0767611 0.0782128
-0.493383  0.241869 -0.123218 -0.826372  0.190632 0.0762549  0.078066
-0.486844  0.239041 -0.119423 -0.831613  0.190884  0.075749 0.0779197
-0.480215  0.236264  -0.11577 -0.836762  0.191134 0.0752432  0.077774
-0.473671    0.2335    -0.112 -0.841766  0.191382 0.0747377 0.0776289
-0.467023   0.23076 -0.108222 -0.846715  0.191628 0.0742324 0.0774843
-0.460352  0.227937 -0.104249 -0.851618  0.191873 0.0737274 0.0773402
 -0.45361  0.225215 -0.100406 -0.856408  0.192115 0.0732226 0.0771967
 -0.446807   0.222413 -0.0964723  -0.861156   0.192356  0.0727181  0.0770538
 -0.439918   0.219633 -0.0925624  -0.865832   0.192595  0.0722139  0.0769115
 -0.433111   0.216856 -0.0885549  -0.870371   0.192832  0.0717099  0.0767697
 -0.426201   0.214204 -0.0845413  -0.874827   0.193067  0.0712061  0.0766286
 -0.419201    0.21149 -0.0804739  -0.879242     0.1933  0.0707027   0.076488
 -0.412151   0.208851 -0.0764639  -0.883553   0.193532  0.0701995  0.0763481
  -0.40506    0.20613 -0.0723307  -0.887809   0.193762  0.0696966  0.0762087
-0.397954  0.203449 -0.068255 -0.891955   0.19399  0.069194   0.07607
 -0.390833    0.20076 -0.0641473  -0.896008   0.194216  0.0686917  0.0759319
 -0.383667   0.198085 -0.0599202  -0.899984    0.19444  0.0681897  0.0757944
 -0.376448   0.195481 -0.0557801   -0.90386   0.194662  0.0676879  0.0756576
 -0.369172   0.192919 -0.0516005  -0.907652   0.194883  0.0671865  0.0755214
 -0.361843   0.190297 -0.0473645   -0.91138   0.195102  0.0666854  0.0753858
-0.354496  0.187643 -0.043168 -0.915019  0.195319 0.0661846 0.0752509
  -0.34706   0.185002 -0.0389161  -0.918591   0.195534  0.0656841  0.0751167
